id,stage,winning_character
1,YOSHIS_STORY,FOX
2,FOUNTAIN_OF_DREAMS,MARTH
3,FINAL_DESTINATION,FOX
4,FINAL_DESTINATION,MARTH
5,YOSHIS_STORY,FOX
6,POKEMON_STADIUM,MARTH
7,BATTLEFIELD,FOX
8,BATTLEFIELD,MARTH
9,BATTLEFIELD,MARTH
10,POKEMON_STADIUM,FOX
11,FINAL_DESTINATION,FOX
12,FOUNTAIN_OF_DREAMS,FOX
13,YOSHIS_STORY,FOX
14,FOUNTAIN_OF_DREAMS,FOX
15,FINAL_DESTINATION,FOX
16,FOUNTAIN_OF_DREAMS,FOX
17,YOSHIS_STORY,MARTH
18,FINAL_DESTINATION,FOX
19,YOSHIS_STORY,FOX
20,BATTLEFIELD,MARTH
21,FOUNTAIN_OF_DREAMS,FOX
22,DREAMLAND,MARTH
23,YOSHIS_STORY,FOX
24,FINAL_DESTINATION,FOX
25,FINAL_DESTINATION,FOX
26,BATTLEFIELD,FOX
27,POKEMON_STADIUM,FOX
28,BATTLEFIELD,FOX
29,FOUNTAIN_OF_DREAMS,FOX
30,FOUNTAIN_OF_DREAMS,FOX
31,POKEMON_STADIUM,FOX
32,POKEMON_STADIUM,FOX
33,POKEMON_STADIUM,FOX
34,FINAL_DESTINATION,FOX
35,FOUNTAIN_OF_DREAMS,FOX
36,FINAL_DESTINATION,FOX
37,BATTLEFIELD,FOX
38,POKEMON_STADIUM,FOX
39,YOSHIS_STORY,FOX
40,YOSHIS_STORY,FOX
41,FINAL_DESTINATION,FOX
42,DREAMLAND,FOX
43,DREAMLAND,FOX
44,BATTLEFIELD,FOX
45,YOSHIS_STORY,FOX
46,YOSHIS_STORY,FOX
47,POKEMON_STADIUM,FOX
48,BATTLEFIELD,FOX
49,POKEMON_STADIUM,MARTH
50,POKEMON_STADIUM,MARTH
51,POKEMON_STADIUM,FOX
52,BATTLEFIELD,MARTH
53,FINAL_DESTINATION,FOX
54,DREAMLAND,FOX
55,YOSHIS_STORY,MARTH
56,YOSHIS_STORY,MARTH
57,BATTLEFIELD,MARTH
58,DREAMLAND,FOX
59,DREAMLAND,MARTH
60,FINAL_DESTINATION,FOX
61,BATTLEFIELD,FOX
62,FINAL_DESTINATION,MARTH
63,FOUNTAIN_OF_DREAMS,MARTH
64,DREAMLAND,FOX
65,DREAMLAND,FOX
66,BATTLEFIELD,FOX
67,FOUNTAIN_OF_DREAMS,MARTH
68,BATTLEFIELD,MARTH
69,DREAMLAND,FOX
70,POKEMON_STADIUM,FOX
71,BATTLEFIELD,FOX
72,DREAMLAND,FOX
73,DREAMLAND,FOX
74,FOUNTAIN_OF_DREAMS,FOX
75,FINAL_DESTINATION,FOX
76,YOSHIS_STORY,MARTH
77,FOUNTAIN_OF_DREAMS,FOX
78,BATTLEFIELD,FOX
79,POKEMON_STADIUM,MARTH
80,POKEMON_STADIUM,FOX
81,DREAMLAND,FOX
82,DREAMLAND,FOX
83,FOUNTAIN_OF_DREAMS,FOX
84,FOUNTAIN_OF_DREAMS,MARTH
85,FINAL_DESTINATION,FOX
86,YOSHIS_STORY,MARTH
87,DREAMLAND,MARTH
88,BATTLEFIELD,MARTH
89,BATTLEFIELD,MARTH
90,FOUNTAIN_OF_DREAMS,MARTH
91,POKEMON_STADIUM,FOX
92,BATTLEFIELD,FOX
93,FINAL_DESTINATION,FOX
94,FOUNTAIN_OF_DREAMS,FOX
95,DREAMLAND,MARTH
96,FOUNTAIN_OF_DREAMS,MARTH
97,FINAL_DESTINATION,FOX
98,DREAMLAND,FOX
99,FINAL_DESTINATION,MARTH
100,POKEMON_STADIUM,MARTH
101,YOSHIS_STORY,FOX
102,POKEMON_STADIUM,MARTH
103,FOUNTAIN_OF_DREAMS,MARTH
104,BATTLEFIELD,FOX
105,POKEMON_STADIUM,FOX
106,DREAMLAND,FOX
107,BATTLEFIELD,MARTH
108,BATTLEFIELD,MARTH
109,DREAMLAND,FOX
110,BATTLEFIELD,MARTH
111,FOUNTAIN_OF_DREAMS,MARTH
112,BATTLEFIELD,MARTH
113,FINAL_DESTINATION,MARTH
114,DREAMLAND,MARTH
115,DREAMLAND,MARTH
116,POKEMON_STADIUM,MARTH
117,YOSHIS_STORY,MARTH
118,FOUNTAIN_OF_DREAMS,FOX
119,POKEMON_STADIUM,FOX
120,BATTLEFIELD,MARTH
121,DREAMLAND,FOX
122,YOSHIS_STORY,FOX
123,FINAL_DESTINATION,MARTH
124,YOSHIS_STORY,MARTH
125,DREAMLAND,MARTH
126,FOUNTAIN_OF_DREAMS,MARTH
127,DREAMLAND,MARTH
128,FOUNTAIN_OF_DREAMS,MARTH
129,FINAL_DESTINATION,FOX
130,BATTLEFIELD,FOX
131,DREAMLAND,MARTH
132,YOSHIS_STORY,MARTH
133,DREAMLAND,MARTH
134,POKEMON_STADIUM,FOX
135,BATTLEFIELD,MARTH
136,FINAL_DESTINATION,MARTH
137,FINAL_DESTINATION,FOX
138,BATTLEFIELD,MARTH
139,DREAMLAND,FOX
140,BATTLEFIELD,FOX
141,FOUNTAIN_OF_DREAMS,FOX
142,FINAL_DESTINATION,FOX
143,YOSHIS_STORY,FOX
144,YOSHIS_STORY,MARTH
145,YOSHIS_STORY,MARTH
146,POKEMON_STADIUM,MARTH
147,FINAL_DESTINATION,FOX
148,POKEMON_STADIUM,MARTH
149,POKEMON_STADIUM,FOX
150,FOUNTAIN_OF_DREAMS,MARTH
151,BATTLEFIELD,MARTH
152,DREAMLAND,FOX
153,YOSHIS_STORY,MARTH
154,FINAL_DESTINATION,MARTH
155,BATTLEFIELD,MARTH
156,FINAL_DESTINATION,FOX
157,BATTLEFIELD,FOX
158,FOUNTAIN_OF_DREAMS,MARTH
159,FINAL_DESTINATION,FOX
160,FINAL_DESTINATION,MARTH
161,BATTLEFIELD,MARTH
162,POKEMON_STADIUM,FOX
163,POKEMON_STADIUM,FOX
164,BATTLEFIELD,MARTH
165,YOSHIS_STORY,MARTH
166,FOUNTAIN_OF_DREAMS,MARTH
167,FOUNTAIN_OF_DREAMS,FOX
168,BATTLEFIELD,MARTH
169,POKEMON_STADIUM,MARTH
170,FINAL_DESTINATION,MARTH
171,YOSHIS_STORY,FOX
172,DREAMLAND,FOX
173,YOSHIS_STORY,FOX
174,BATTLEFIELD,FOX
175,YOSHIS_STORY,MARTH
176,DREAMLAND,MARTH
177,YOSHIS_STORY,FOX
178,FINAL_DESTINATION,FOX
179,DREAMLAND,FOX
180,YOSHIS_STORY,MARTH
181,POKEMON_STADIUM,FOX
182,FOUNTAIN_OF_DREAMS,FOX
183,FOUNTAIN_OF_DREAMS,FOX
184,BATTLEFIELD,FOX
185,FOUNTAIN_OF_DREAMS,FOX
186,POKEMON_STADIUM,FOX
187,BATTLEFIELD,FOX
188,BATTLEFIELD,MARTH
189,DREAMLAND,MARTH
190,POKEMON_STADIUM,MARTH
191,BATTLEFIELD,FOX
192,FINAL_DESTINATION,MARTH
193,FINAL_DESTINATION,MARTH
194,YOSHIS_STORY,FOX
195,POKEMON_STADIUM,MARTH
196,POKEMON_STADIUM,FOX
197,POKEMON_STADIUM,FOX
198,YOSHIS_STORY,MARTH
199,POKEMON_STADIUM,FOX
200,YOSHIS_STORY,FOX
201,FOUNTAIN_OF_DREAMS,FOX
202,DREAMLAND,FOX
203,POKEMON_STADIUM,FOX
204,FOUNTAIN_OF_DREAMS,FOX
205,DREAMLAND,MARTH
206,FINAL_DESTINATION,FOX
207,FOUNTAIN_OF_DREAMS,MARTH
208,FOUNTAIN_OF_DREAMS,FOX
209,DREAMLAND,MARTH
210,FINAL_DESTINATION,FOX
211,YOSHIS_STORY,FOX
212,POKEMON_STADIUM,MARTH
213,DREAMLAND,MARTH
214,FOUNTAIN_OF_DREAMS,FOX
215,FINAL_DESTINATION,FOX
216,YOSHIS_STORY,MARTH
217,FOUNTAIN_OF_DREAMS,FOX
218,YOSHIS_STORY,MARTH
219,BATTLEFIELD,FOX
220,BATTLEFIELD,MARTH
221,BATTLEFIELD,FOX
222,FINAL_DESTINATION,MARTH
223,POKEMON_STADIUM,FOX
224,YOSHIS_STORY,FOX
225,YOSHIS_STORY,FOX
226,POKEMON_STADIUM,FOX
227,BATTLEFIELD,FOX
228,DREAMLAND,MARTH
229,POKEMON_STADIUM,FOX
230,DREAMLAND,MARTH
231,YOSHIS_STORY,FOX
232,FOUNTAIN_OF_DREAMS,FOX
233,DREAMLAND,FOX
234,POKEMON_STADIUM,MARTH
235,FINAL_DESTINATION,MARTH
236,BATTLEFIELD,MARTH
237,POKEMON_STADIUM,FOX
238,FOUNTAIN_OF_DREAMS,FOX
239,YOSHIS_STORY,MARTH
240,POKEMON_STADIUM,FOX
241,FINAL_DESTINATION,MARTH
242,DREAMLAND,MARTH
243,YOSHIS_STORY,FOX
244,FOUNTAIN_OF_DREAMS,FOX
245,DREAMLAND,MARTH
246,FINAL_DESTINATION,FOX
247,FINAL_DESTINATION,FOX
248,YOSHIS_STORY,FOX
249,YOSHIS_STORY,MARTH
250,FINAL_DESTINATION,MARTH
251,POKEMON_STADIUM,FOX
252,FINAL_DESTINATION,MARTH
253,YOSHIS_STORY,MARTH
254,BATTLEFIELD,MARTH
255,BATTLEFIELD,FOX
256,FINAL_DESTINATION,FOX
257,POKEMON_STADIUM,FOX
258,DREAMLAND,FOX
259,YOSHIS_STORY,FOX
260,FOUNTAIN_OF_DREAMS,FOX
261,POKEMON_STADIUM,FOX
262,YOSHIS_STORY,FOX
263,DREAMLAND,FOX
264,FOUNTAIN_OF_DREAMS,MARTH
265,FINAL_DESTINATION,FOX
266,POKEMON_STADIUM,FOX
267,BATTLEFIELD,FOX
268,DREAMLAND,FOX
269,YOSHIS_STORY,FOX
270,BATTLEFIELD,MARTH
271,DREAMLAND,MARTH
272,BATTLEFIELD,FOX
273,YOSHIS_STORY,FOX
274,BATTLEFIELD,FOX
275,FOUNTAIN_OF_DREAMS,FOX
276,FOUNTAIN_OF_DREAMS,FOX
277,FINAL_DESTINATION,FOX
278,YOSHIS_STORY,FOX
279,DREAMLAND,FOX
280,FINAL_DESTINATION,FOX
281,POKEMON_STADIUM,FOX
282,FOUNTAIN_OF_DREAMS,MARTH
283,FOUNTAIN_OF_DREAMS,FOX
284,BATTLEFIELD,MARTH
285,POKEMON_STADIUM,MARTH
286,POKEMON_STADIUM,FOX
287,FINAL_DESTINATION,MARTH
288,POKEMON_STADIUM,FOX
289,BATTLEFIELD,FOX
290,BATTLEFIELD,MARTH
291,FOUNTAIN_OF_DREAMS,FOX
292,BATTLEFIELD,FOX
293,DREAMLAND,FOX
294,BATTLEFIELD,FOX
295,DREAMLAND,FOX
296,FINAL_DESTINATION,FOX
297,YOSHIS_STORY,FOX
298,FINAL_DESTINATION,FOX
299,POKEMON_STADIUM,MARTH
300,FOUNTAIN_OF_DREAMS,FOX
301,BATTLEFIELD,FOX
302,POKEMON_STADIUM,FOX
303,POKEMON_STADIUM,FOX
304,DREAMLAND,FOX
305,POKEMON_STADIUM,FOX
306,DREAMLAND,MARTH
307,FOUNTAIN_OF_DREAMS,MARTH
308,FINAL_DESTINATION,MARTH
309,BATTLEFIELD,FOX
310,BATTLEFIELD,MARTH
311,FINAL_DESTINATION,MARTH
312,FINAL_DESTINATION,FOX
313,BATTLEFIELD,MARTH
