id,stage,winning_character
1,FINAL_DESTINATION,PICHU
2,DREAMLAND,PICHU
3,YOSHIS_STORY,PICHU
4,DREAMLAND,PICHU
5,BATTLEFIELD,BOWSER
6,FINAL_DESTINATION,BOWSER
7,FINAL_DESTINATION,BOWSER
8,FOUNTAIN_OF_DREAMS,BOWSER
9,FINAL_DESTINATION,BOWSER
10,FINAL_DESTINATION,BOWSER
11,POKEMON_STADIUM,BOWSER
12,FINAL_DESTINATION,PICHU
13,YOSHIS_STORY,PICHU
14,FINAL_DESTINATION,BOWSER
15,BATTLEFIELD,PICHU
16,YOSHIS_STORY,PICHU
17,DREAMLAND,BOWSER
18,POKEMON_STADIUM,BOWSER
19,FINAL_DESTINATION,PICHU
20,BATTLEFIELD,BOWSER
21,BATTLEFIELD,BOWSER
22,YOSHIS_STORY,PICHU
23,FINAL_DESTINATION,BOWSER
24,FINAL_DESTINATION,PICHU
25,FINAL_DESTINATION,PICHU
26,POKEMON_STADIUM,BOWSER
27,FOUNTAIN_OF_DREAMS,PICHU
28,FINAL_DESTINATION,PICHU
29,YOSHIS_STORY,BOWSER
30,YOSHIS_STORY,BOWSER
31,BATTLEFIELD,BOWSER
32,,PICHU
33,BATTLEFIELD,BOWSER
34,FOUNTAIN_OF_DREAMS,PICHU
35,FINAL_DESTINATION,BOWSER
36,POKEMON_STADIUM,BOWSER
37,DREAMLAND,PICHU
38,FOUNTAIN_OF_DREAMS,PICHU
39,POKEMON_STADIUM,PICHU
40,DREAMLAND,BOWSER
41,YOSHIS_ISLAND,PICHU
42,,PICHU
43,YOSHIS_STORY,BOWSER
44,FINAL_DESTINATION,PICHU
45,POKEMON_STADIUM,BOWSER
46,DREAMLAND,BOWSER
47,DREAMLAND,BOWSER
48,BATTLEFIELD,PICHU
49,YOSHIS_STORY,PICHU
50,DREAMLAND,PICHU
51,YOSHIS_STORY,BOWSER
52,POKEMON_STADIUM,PICHU
53,FOUNTAIN_OF_DREAMS,PICHU
54,FINAL_DESTINATION,PICHU
55,FINAL_DESTINATION,PICHU
56,YOSHIS_STORY,PICHU
57,DREAMLAND,BOWSER
58,FOUNTAIN_OF_DREAMS,PICHU
59,FINAL_DESTINATION,PICHU
60,YOSHIS_STORY,PICHU
61,DREAMLAND,PICHU
62,FOUNTAIN_OF_DREAMS,PICHU
63,BATTLEFIELD,PICHU
64,DREAMLAND,BOWSER
65,YOSHIS_STORY,PICHU
66,FOUNTAIN_OF_DREAMS,PICHU
67,YOSHIS_STORY,PICHU
68,FINAL_DESTINATION,PICHU
69,FINAL_DESTINATION,BOWSER
70,BATTLEFIELD,BOWSER
71,FOUNTAIN_OF_DREAMS,BOWSER
72,FINAL_DESTINATION,BOWSER
73,BATTLEFIELD,PICHU
74,YOSHIS_STORY,PICHU
75,DREAMLAND,PICHU
76,FOUNTAIN_OF_DREAMS,BOWSER
77,FINAL_DESTINATION,BOWSER
78,FINAL_DESTINATION,PICHU
79,POKEMON_STADIUM,BOWSER
80,YOSHIS_STORY,BOWSER
81,BATTLEFIELD,BOWSER
82,POKEMON_STADIUM,BOWSER
83,YOSHIS_STORY,BOWSER
84,FINAL_DESTINATION,PICHU
85,DREAMLAND,BOWSER
86,FOUNTAIN_OF_DREAMS,PICHU
87,YOSHIS_STORY,BOWSER
88,FINAL_DESTINATION,BOWSER
89,FINAL_DESTINATION,BOWSER
90,POKEMON_STADIUM,BOWSER
91,DREAMLAND,PICHU
92,,BOWSER
93,,BOWSER
94,YOSHIS_STORY,BOWSER
95,,BOWSER
96,FINAL_DESTINATION,PICHU
97,FINAL_DESTINATION,PICHU
98,POKEMON_STADIUM,BOWSER
99,DREAMLAND,PICHU
100,BATTLEFIELD,PICHU
101,FOUNTAIN_OF_DREAMS,PICHU
102,,BOWSER
103,FOUNTAIN_OF_DREAMS,BOWSER
104,POKEMON_STADIUM,BOWSER
105,POKEMON_STADIUM,PICHU
106,RAINBOW_CRUISE,BOWSER
107,BATTLEFIELD,BOWSER
108,FOUNTAIN_OF_DREAMS,BOWSER
109,,BOWSER
110,FOUNTAIN_OF_DREAMS,BOWSER
111,FINAL_DESTINATION,BOWSER
112,BATTLEFIELD,BOWSER
113,POKEMON_STADIUM,BOWSER
114,FOUNTAIN_OF_DREAMS,PICHU
115,FINAL_DESTINATION,PICHU
116,BATTLEFIELD,PICHU
117,DREAMLAND,PICHU
118,YOSHIS_STORY,BOWSER
119,DREAMLAND,BOWSER
120,FOUNTAIN_OF_DREAMS,BOWSER
121,FINAL_DESTINATION,PICHU
122,DREAMLAND,PICHU
123,YOSHIS_STORY,BOWSER
124,YOSHIS_STORY,PICHU
125,FINAL_DESTINATION,PICHU
126,POKEMON_STADIUM,PICHU
127,FOUNTAIN_OF_DREAMS,PICHU
128,FOUNTAIN_OF_DREAMS,BOWSER
129,FINAL_DESTINATION,BOWSER
130,KONGO_JUNGLE_N64,PICHU
131,YOSHIS_STORY,PICHU
132,FOUNTAIN_OF_DREAMS,PICHU
133,BATTLEFIELD,PICHU
134,DREAMLAND,PICHU
135,FOUNTAIN_OF_DREAMS,BOWSER
136,DREAMLAND,BOWSER
137,DREAMLAND,BOWSER
138,DREAMLAND,PICHU
139,FINAL_DESTINATION,PICHU
140,BATTLEFIELD,PICHU
141,FOUNTAIN_OF_DREAMS,BOWSER
142,YOSHIS_STORY,PICHU
143,BATTLEFIELD,BOWSER
144,FOUNTAIN_OF_DREAMS,BOWSER
145,FINAL_DESTINATION,PICHU
146,FOUNTAIN_OF_DREAMS,PICHU
147,YOSHIS_STORY,BOWSER
148,POKEMON_STADIUM,PICHU
149,YOSHIS_STORY,BOWSER
150,BATTLEFIELD,PICHU
151,DREAMLAND,BOWSER
152,FINAL_DESTINATION,BOWSER
153,FOUNTAIN_OF_DREAMS,PICHU
154,BATTLEFIELD,PICHU
155,YOSHIS_STORY,BOWSER
156,FOUNTAIN_OF_DREAMS,PICHU
157,YOSHIS_STORY,BOWSER
158,BATTLEFIELD,PICHU
159,FINAL_DESTINATION,BOWSER
160,POKEMON_STADIUM,PICHU
161,YOSHIS_STORY,BOWSER
162,FOUNTAIN_OF_DREAMS,PICHU
163,POKEMON_STADIUM,BOWSER
164,POKEMON_STADIUM,BOWSER
165,YOSHIS_STORY,BOWSER
166,FINAL_DESTINATION,PICHU
167,DREAMLAND,BOWSER
168,YOSHIS_STORY,BOWSER
169,FOUNTAIN_OF_DREAMS,BOWSER
170,FOUNTAIN_OF_DREAMS,BOWSER
171,FINAL_DESTINATION,BOWSER
172,YOSHIS_STORY,BOWSER
173,FOUNTAIN_OF_DREAMS,PICHU
174,YOSHIS_STORY,PICHU
175,DREAMLAND,PICHU
176,YOSHIS_STORY,BOWSER
177,BATTLEFIELD,BOWSER
178,FOUNTAIN_OF_DREAMS,PICHU
179,YOSHIS_STORY,PICHU
180,FOUNTAIN_OF_DREAMS,BOWSER
181,POKEMON_STADIUM,PICHU
182,POKEMON_STADIUM,BOWSER
183,FINAL_DESTINATION,BOWSER
184,FOUNTAIN_OF_DREAMS,BOWSER
185,BATTLEFIELD,BOWSER
186,POKEMON_STADIUM,BOWSER
187,BATTLEFIELD,PICHU
188,FINAL_DESTINATION,PICHU
189,POKEMON_STADIUM,PICHU
190,YOSHIS_STORY,PICHU
191,FOUNTAIN_OF_DREAMS,PICHU
192,FINAL_DESTINATION,PICHU
193,FINAL_DESTINATION,PICHU
194,YOSHIS_STORY,PICHU
195,FINAL_DESTINATION,BOWSER
196,BATTLEFIELD,PICHU
197,,BOWSER
198,POKEMON_STADIUM,BOWSER
199,YOSHIS_STORY,BOWSER
200,FINAL_DESTINATION,PICHU
201,FINAL_DESTINATION,BOWSER
202,BATTLEFIELD,BOWSER
203,YOSHIS_STORY,PICHU
204,YOSHIS_STORY,BOWSER
205,FINAL_DESTINATION,BOWSER
206,YOSHIS_STORY,BOWSER
207,FOUNTAIN_OF_DREAMS,BOWSER
208,FOUNTAIN_OF_DREAMS,PICHU
209,YOSHIS_STORY,PICHU
210,FOUNTAIN_OF_DREAMS,PICHU
211,FINAL_DESTINATION,BOWSER
212,POKEMON_STADIUM,PICHU
213,FINAL_DESTINATION,BOWSER
214,GREEN_GREENS,BOWSER
215,FOUNTAIN_OF_DREAMS,BOWSER
216,FINAL_DESTINATION,BOWSER
217,,PICHU
218,,PICHU
219,FINAL_DESTINATION,PICHU
220,FINAL_DESTINATION,PICHU
221,FOUNTAIN_OF_DREAMS,PICHU
222,YOSHIS_STORY,BOWSER
223,DREAMLAND,PICHU
224,YOSHIS_STORY,BOWSER
225,DREAMLAND,BOWSER
226,FINAL_DESTINATION,BOWSER
227,FINAL_DESTINATION,PICHU
228,FOUNTAIN_OF_DREAMS,PICHU
229,FINAL_DESTINATION,PICHU
230,MUSHROOM_KINGDOM_2,PICHU
231,YOSHIS_STORY,BOWSER
232,POKEMON_STADIUM,BOWSER
233,FOUNTAIN_OF_DREAMS,BOWSER
234,FOUNTAIN_OF_DREAMS,BOWSER
235,YOSHIS_STORY,PICHU
236,DREAMLAND,PICHU
237,YOSHIS_STORY,PICHU
238,FINAL_DESTINATION,PICHU
239,YOSHIS_STORY,PICHU
240,BATTLEFIELD,BOWSER
241,,BOWSER
242,YOSHIS_STORY,PICHU
243,DREAMLAND,PICHU
244,DREAMLAND,BOWSER
245,FINAL_DESTINATION,PICHU
246,BATTLEFIELD,BOWSER
247,FINAL_DESTINATION,BOWSER
248,FOUNTAIN_OF_DREAMS,BOWSER
249,POKEMON_STADIUM,PICHU
250,DREAMLAND,BOWSER
251,BATTLEFIELD,PICHU
252,POKEMON_STADIUM,BOWSER
253,FOUNTAIN_OF_DREAMS,PICHU
254,DREAMLAND,PICHU
255,HYRULE_TEMPLE,BOWSER
256,MUSHROOM_KINGDOM,BOWSER
257,POKEMON_STADIUM,BOWSER
258,BATTLEFIELD,BOWSER
259,BATTLEFIELD,BOWSER
260,FINAL_DESTINATION,PICHU
261,YOSHIS_STORY,BOWSER
262,BATTLEFIELD,BOWSER
263,FINAL_DESTINATION,PICHU
264,BATTLEFIELD,BOWSER
265,YOSHIS_STORY,BOWSER
266,POKEMON_STADIUM,BOWSER
267,DREAMLAND,PICHU
268,POKEMON_STADIUM,BOWSER
269,BATTLEFIELD,BOWSER
270,BATTLEFIELD,BOWSER
271,FINAL_DESTINATION,PICHU
272,DREAMLAND,PICHU
273,FINAL_DESTINATION,BOWSER
274,POKEMON_STADIUM,BOWSER
275,FINAL_DESTINATION,PICHU
276,DREAMLAND,BOWSER
277,POKEMON_STADIUM,PICHU
278,YOSHIS_STORY,BOWSER
279,FINAL_DESTINATION,BOWSER
280,BATTLEFIELD,PICHU
281,VENOM,PICHU
282,POKEMON_STADIUM,BOWSER
283,FINAL_DESTINATION,PICHU
284,POKEMON_STADIUM,BOWSER
285,POKEMON_STADIUM,BOWSER
286,DREAMLAND,BOWSER
287,BATTLEFIELD,BOWSER
288,FINAL_DESTINATION,BOWSER
289,BATTLEFIELD,BOWSER
290,YOSHIS_STORY,BOWSER
291,BATTLEFIELD,BOWSER
292,FINAL_DESTINATION,PICHU
293,YOSHIS_STORY,BOWSER
294,POKEMON_STADIUM,BOWSER
295,FOUNTAIN_OF_DREAMS,BOWSER
296,YOSHIS_STORY,BOWSER
297,,BOWSER
298,FOUNTAIN_OF_DREAMS,PICHU
299,BATTLEFIELD,PICHU
300,YOSHIS_STORY,PICHU
301,DREAMLAND,PICHU
302,BATTLEFIELD,BOWSER
303,DREAMLAND,BOWSER
304,POKEMON_STADIUM,BOWSER
305,FOUNTAIN_OF_DREAMS,BOWSER
306,FINAL_DESTINATION,PICHU
307,BATTLEFIELD,BOWSER
308,DREAMLAND,BOWSER
309,YOSHIS_STORY,BOWSER
310,DREAMLAND,BOWSER
311,FOUNTAIN_OF_DREAMS,BOWSER
312,DREAMLAND,PICHU
313,FOUNTAIN_OF_DREAMS,PICHU
314,YOSHIS_STORY,BOWSER
315,DREAMLAND,BOWSER
316,FINAL_DESTINATION,PICHU
317,DREAMLAND,BOWSER
318,,BOWSER
319,FINAL_DESTINATION,BOWSER
320,BATTLEFIELD,PICHU
321,BATTLEFIELD,BOWSER
322,YOSHIS_STORY,BOWSER
323,FINAL_DESTINATION,PICHU
324,MUTE_CITY,PICHU
325,MUTE_CITY,PICHU
326,FINAL_DESTINATION,PICHU
327,DREAMLAND,PICHU
328,YOSHIS_STORY,BOWSER
329,YOSHIS_STORY,PICHU
330,FOUNTAIN_OF_DREAMS,BOWSER
331,YOSHIS_STORY,BOWSER
332,FINAL_DESTINATION,PICHU
333,FOUNTAIN_OF_DREAMS,BOWSER
334,POKEMON_STADIUM,BOWSER
335,BATTLEFIELD,PICHU
336,BATTLEFIELD,PICHU
337,YOSHIS_STORY,PICHU
338,FOUNTAIN_OF_DREAMS,PICHU
339,BIG_BLUE,BOWSER
340,POKEMON_STADIUM,BOWSER
341,YOSHIS_STORY,BOWSER
342,FINAL_DESTINATION,PICHU
343,FOUNTAIN_OF_DREAMS,BOWSER
344,DREAMLAND,PICHU
345,FINAL_DESTINATION,PICHU
346,POKEMON_STADIUM,BOWSER
